emotion,pitch,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40
neutral,1247.479736328125,-500.6925048828125,75.99777221679688,-15.167945861816406,7.063635349273682,-20.454208374023438,-12.231112480163574,-31.337419509887695,-24.67801284790039,-17.865724563598633,-13.181190490722656,-16.175949096679688,-2.306199550628662,-9.937732696533203,-11.879429817199707,-1.2317962646484375,-13.750517845153809,-8.410223007202148,-7.75977897644043,-11.85522747039795,-9.316075325012207,-7.349298000335693,-6.280984878540039,-6.4165778160095215,-0.7130309343338013,-1.031406044960022,1.0139436721801758,-0.5920816659927368,6.378828048706055,4.099459171295166,11.386868476867676,9.499229431152344,9.374622344970703,5.635519981384277,7.0266571044921875,4.820529937744141,6.579089164733887,1.9615732431411743,-4.027053356170654,-8.023822784423828,-1.892563819885254
neutral,1379.2222900390625,-530.4004516601562,87.86967468261719,-16.908449172973633,0.5277299880981445,-17.294418334960938,-17.038265228271484,-23.262916564941406,-24.998607635498047,-17.624954223632812,-13.432977676391602,-16.59912109375,-5.530058860778809,-11.910709381103516,-10.726917266845703,-5.442920207977295,-12.762608528137207,-8.658982276916504,-9.877440452575684,-12.462079048156738,-8.474995613098145,-9.893744468688965,-8.59238338470459,-8.004852294921875,-5.5963592529296875,-5.049747467041016,1.0815551280975342,1.2463961839675903,4.532978534698486,3.5577032566070557,8.382444381713867,8.779251098632812,13.789276123046875,14.53268814086914,12.73055648803711,8.000324249267578,3.4876699447631836,-0.009669630788266659,1.147331714630127,-1.4477267265319824,-0.5946805477142334
neutral,1534.970703125,-511.81494140625,82.62144470214844,-28.590829849243164,1.1518751382827759,-19.143592834472656,-21.8259334564209,-21.66152572631836,-27.478759765625,-17.001522064208984,-11.698418617248535,-19.669719696044922,-6.13244104385376,-11.13825798034668,-13.506908416748047,-5.496101379394531,-11.800379753112793,-10.373846054077148,-9.084606170654297,-9.09238338470459,-8.61422061920166,-8.297743797302246,-8.390761375427246,-6.211134433746338,-4.989529609680176,-4.5861406326293945,1.0789732933044434,-0.5221354961395264,3.2264137268066406,3.626652956008911,7.381527423858643,8.866317749023438,14.13512897491455,12.281108856201172,13.392501831054688,5.437233924865723,4.968674659729004,1.0026482343673706,0.6908668279647827,-0.9441945552825928,-0.4801839292049408
calm,1293.5570068359375,-559.9083251953125,84.93064880371094,-8.995932579040527,2.9485206604003906,-14.157212257385254,-14.481640815734863,-18.015810012817383,-22.192106246948242,-18.21506690979004,-8.731476783752441,-13.91196060180664,-5.468771457672119,-14.692756652832031,-7.413354396820068,-5.008732318878174,-13.68410873413086,-6.740801811218262,-8.605524063110352,-9.775830268859863,-6.767875671386719,-6.283835411071777,-1.0565356016159058,-0.6321825981140137,3.3725168704986572,2.918853759765625,3.2025084495544434,-4.040285587310791,0.9568583369255066,1.7108632326126099,8.165061950683594,7.917946815490723,14.128902435302734,12.375242233276367,13.008095741271973,8.079449653625488,6.940494060516357,-0.38935303688049316,-4.915112018585205,-4.75597620010376,0.7695393562316895
calm,1245.7694091796875,-569.3291625976562,77.9015121459961,-11.183968544006348,5.695424556732178,-10.182185173034668,-13.046704292297363,-24.587621688842773,-25.633087158203125,-16.865135192871094,-13.267746925354004,-15.654346466064453,-7.0620880126953125,-16.158714294433594,-10.029013633728027,-5.455962657928467,-14.137785911560059,-7.751601219177246,-6.576418876647949,-8.542927742004395,-6.086217880249023,-2.860478401184082,3.314984083175659,4.641174793243408,3.922619342803955,-1.3370400667190552,-1.6612915992736816,-4.966516494750977,1.2970361709594727,-0.7325900793075562,1.9815689325332642,-0.061624567955732346,7.582508087158203,14.152676582336426,17.424619674682617,12.111242294311523,5.479622840881348,0.10209881514310837,-1.8083088397979736,-2.8624281883239746,-1.0890114307403564
neutral,1140.1593017578125,-507.2178649902344,84.16437530517578,-18.33832550048828,5.901204586029053,-21.49359703063965,-15.39206600189209,-25.655086517333984,-24.847631454467773,-13.803487777709961,-12.18231201171875,-13.619647026062012,-0.007412883453071117,-13.599492073059082,-9.056453704833984,-3.06137752532959,-14.258023262023926,-5.528404235839844,-9.037772178649902,-9.398855209350586,-8.401081085205078,-6.1134796142578125,-4.104549884796143,-0.7669223546981812,3.0930020809173584,0.2546834945678711,3.7517528533935547,-1.4533509016036987,9.572855949401855,10.087538719177246,17.35953712463379,12.022583961486816,7.4566779136657715,1.9584999084472656,3.2989349365234375,4.063220977783203,5.694436550140381,-1.597275733947754,-7.061179161071777,-7.638354778289795,-0.6281418204307556
calm,1192.3900146484375,-561.517578125,63.080142974853516,2.6175613403320312,10.61463737487793,-11.199980735778809,-6.061005592346191,-20.851911544799805,-13.831939697265625,-12.054601669311523,-9.52622127532959,-9.954473495483398,-3.2983908653259277,-15.754861831665039,-4.327224254608154,-6.655426979064941,-9.65076732635498,-10.930218696594238,-4.584568023681641,-7.838491916656494,-11.783403396606445,-4.873841762542725,-7.99144172668457,-7.446068286895752,-5.250598430633545,-4.290841579437256,-5.159694671630859,-6.8953423500061035,-0.3510558009147644,2.2278027534484863,12.071391105651855,17.941417694091797,27.259798049926758,22.284503936767578,20.202163696289062,4.678396701812744,3.3558762073516846,1.072796106338501,2.0400192737579346,2.5206127166748047,3.169269561767578
happy,1250.9541015625,-471.2418518066406,95.84086608886719,-36.866336822509766,-6.193767547607422,-15.25680160522461,-16.04738426208496,-22.367462158203125,-21.413333892822266,-16.985111236572266,-11.169495582580566,-13.277740478515625,-2.1108906269073486,-15.366363525390625,-9.566367149353027,-2.732839822769165,-15.908784866333008,-6.2373046875,-7.119297504425049,-9.639556884765625,-5.777510643005371,-4.963650703430176,-2.1489293575286865,-2.7411608695983887,-1.9761674404144287,-0.2472761869430542,7.488483905792236,3.0463931560516357,13.028862953186035,8.095714569091797,7.566128253936768,3.596914052963257,0.8491764664649963,4.3496856689453125,5.967208385467529,3.3919925689697266,5.5009260177612305,0.06675156950950623,-1.0464109182357788,-6.178896903991699,-4.513491630554199
happy,1057.0999755859375,-442.8305969238281,67.57662200927734,-30.193580627441406,-1.769213318824768,-17.955533981323242,-17.878843307495117,-27.208755493164062,-18.18532943725586,-19.580780029296875,-14.814149856567383,-15.479998588562012,-3.6462838649749756,-17.435964584350586,-10.69773006439209,-4.570663928985596,-17.275617599487305,-8.02553939819336,-7.473775386810303,-13.898801803588867,-4.411174297332764,-5.654572010040283,-5.387062072753906,-2.814603805541992,-0.18129973113536835,0.9436823129653931,9.16003704071045,5.525804042816162,11.89921760559082,4.235487937927246,1.4317119121551514,-0.8248109817504883,2.0345466136932373,11.068954467773438,13.509511947631836,5.992023468017578,2.6194632053375244,-5.676008701324463,-4.13985538482666,-4.58178186416626,0.8573795557022095
calm,1113.489990234375,-521.7263793945312,65.71810913085938,2.632658004760742,-0.1879921406507492,-5.545717239379883,-6.20547342300415,-20.019439697265625,-12.300354957580566,-18.1600284576416,-8.464523315429688,-14.677833557128906,-3.758509635925293,-13.866105079650879,-7.694153785705566,-5.933548927307129,-9.668886184692383,-7.975870609283447,-6.466421127319336,-9.070338249206543,-10.152408599853516,-5.662294387817383,-8.664825439453125,-9.7089204788208,-4.516829967498779,-7.302890777587891,-6.008187770843506,-6.939965724945068,1.8664642572402954,2.1218338012695312,11.522464752197266,10.862136840820312,18.11020278930664,16.790903091430664,15.89563274383545,6.630565643310547,6.722446441650391,-0.6017832159996033,-2.143272638320923,-3.3224613666534424,1.816672921180725
calm,1123.403564453125,-517.3136596679688,63.471744537353516,-5.15400505065918,-2.1903090476989746,-8.479111671447754,-11.309629440307617,-17.839113235473633,-10.78567123413086,-20.61294937133789,-13.19062328338623,-7.202699661254883,-9.204588890075684,-14.778766632080078,-8.633047103881836,-4.971362590789795,-14.001877784729004,-8.179198265075684,-8.435286521911621,-7.812917709350586,-7.534445285797119,-6.072678089141846,-6.8699140548706055,-8.192903518676758,-2.5014638900756836,-2.7123353481292725,2.1765449047088623,-1.66274893283844,8.553016662597656,1.0812225341796875,5.594621658325195,1.7043952941894531,7.716249465942383,11.448098182678223,14.742754936218262,8.084442138671875,7.218017578125,-0.7502822279930115,-0.8455042839050293,-2.391305685043335,1.993931531906128
