x,y,emotion
21.198977,-10.579083,neutral
26.795446,-12.487813,neutral
20.922941,-10.683135,neutral
26.849695,-4.7492414,calm
38.509415,-10.260725,calm
28.08444,-17.150282,neutral
40.51652,2.8201377,calm
6.616812,-39.09049,happy
4.523836,-46.498486,happy
35.753178,2.4268472,calm
41.5216,3.3061254,calm
1.2830834,-49.252605,happy
-3.1964614,-47.821877,happy
7.6087246,-11.250088,sad
29.044804,-8.9164505,calm
-7.420299,-49.575935,happy
-15.383841,-17.46853,happy
0.3803216,-38.437485,happy
42.39185,2.155277,calm
43.167946,-2.2937536,calm
-7.6214414,-44.092796,happy
-11.355926,48.96668,angry
-15.947398,-8.6205015,fearful
-5.8972783,-17.089182,sad
-0.9564624,-7.634588,sad
-12.271998,37.524155,angry
10.02513,-8.491145,sad
-1.8447194,39.55028,angry
0.1684899,39.186863,angry
-5.4116545,44.6163,angry
37.78259,-3.9153595,sad
-1.840559,36.203876,angry
0.29364783,-14.091035,sad
5.9756804,-8.670034,sad
-11.26572,35.063595,angry
-1.8116113,-19.542658,sad
-6.9072256,45.51022,angry
-21.589602,-20.914724,fearful
-28.396248,-18.059261,fearful
13.161338,34.187595,disgust
-28.078382,-17.46911,fearful
11.933562,35.14274,disgust
-18.621027,-6.2197833,fearful
13.869064,34.224705,disgust
11.376548,25.652798,disgust
11.415691,25.010347,disgust
4.225019,36.28167,disgust
-24.638248,-12.080928,fearful
4.632039,35.909714,disgust
-23.00522,-17.956224,fearful
-20.302507,-15.475862,fearful
-32.150227,5.9046154,surprised
-32.241405,6.0437527,surprised
-33.757797,9.179352,surprised
-32.516247,8.156507,surprised
-20.318832,2.321646,surprised
-30.69559,18.840538,surprised
-31.774984,6.422532,surprised
8.826355,36.59881,disgust
-26.55885,4.5336013,surprised
31.941437,-12.481105,calm
29.075645,-3.4461718,calm
25.061983,-9.628165,neutral
28.680046,-3.5781763,calm
24.33907,-10.78836,neutral
25.2138,-7.973366,calm
38.139256,-8.510125,calm
22.89999,-10.2924385,neutral
37.11739,-9.690303,neutral
28.652473,-5.2328677,calm
30.134611,-0.85896575,calm
-4.1591463,-42.49324,happy
-9.8684845,-47.71405,happy
